countyfp,county_name,value
001,Alachua,0.0
003,Baker,0.0
005,Bay,43858013.18030124
007,Bradford,0.0
009,Brevard,0.0
011,Broward,10991026291.880156
013,Calhoun,0.0
015,Charlotte,814919243.1235456
017,Citrus,0.0
019,Clay,0.0
021,Collier,639061002.844592
023,Columbia,0.0
027,DeSoto,228097175.81229123
029,Dixie,0.0
031,Duval,0.0
033,Escambia,518422883.2629668
035,Flagler,0.0
037,Franklin,246872.08179327805
039,Gadsden,0.0
041,Gilchrist,0.0
043,Glades,124137146.58756475
045,Gulf,2219559.8994569047
047,Hamilton,0.0
049,Hardee,4236712.380953935
051,Hendry,471526833.0452402
053,Hernando,0.0
055,Highlands,3495837.1773244934
057,Hillsborough,170117030.1819285
059,Holmes,15.129651887953587
061,Indian River,0.0
063,Jackson,0.0
065,Jefferson,0.0
067,Lafayette,0.0
069,Lake,0.0
071,Lee,4078975775.1222463
073,Leon,0.0
075,Levy,0.0
077,Liberty,0.0
079,Madison,0.0
081,Manatee,1317498606.7006085
083,Marion,0.0
085,Martin,964.5263159189578
086,Miami-Dade,16548187431.518188
087,Monroe,172006387.13344088
089,Nassau,0.0
091,Okaloosa,86721658.2653384
093,Okeechobee,0.0
095,Orange,0.0
097,Osceola,0.0
099,Palm Beach,355131466.53780526
101,Pasco,29801.320944518786
103,Pinellas,387625672.9779885
105,Polk,19144.79027057186
107,Putnam,0.0
109,St. Johns,0.0
111,St. Lucie,0.0
113,Santa Rosa,628830766.1233245
115,Sarasota,1420976761.9722364
117,Seminole,0.0
119,Sumter,0.0
121,Suwannee,0.0
123,Taylor,0.0
125,Union,0.0
127,Volusia,0.0
129,Wakulla,0.0
131,Walton,57952512.94197753
133,Washington,287940.2622989893
nan,,9922279.13982611
