countyfp,county_name,value
001,Alachua,0.0
003,Baker,0.0
005,Bay,0.0
007,Bradford,0.0
009,Brevard,46024160.29744764
011,Broward,146745250719.17224
013,Calhoun,0.0
015,Charlotte,1275831286.7855725
017,Citrus,0.0
019,Clay,0.0
021,Collier,3851800695.395131
023,Columbia,0.0
027,DeSoto,155917352.54630905
029,Dixie,0.0
031,Duval,0.0
033,Escambia,0.0
035,Flagler,0.0
037,Franklin,0.0
039,Gadsden,0.0
041,Gilchrist,0.0
043,Glades,834024.3708678413
045,Gulf,0.0
047,Hamilton,0.0
049,Hardee,48186183.12529122
051,Hendry,14956687.510880431
053,Hernando,0.0
055,Highlands,197113130.12937582
057,Hillsborough,538236663.1368709
059,Holmes,0.0
061,Indian River,43372.08136037947
063,Jackson,0.0
065,Jefferson,0.0
067,Lafayette,0.0
069,Lake,0.0
071,Lee,3917968305.6861567
073,Leon,0.0
075,Levy,0.0
077,Liberty,0.0
079,Madison,0.0
081,Manatee,1421596859.3420997
083,Marion,0.0
085,Martin,0.0
086,Miami-Dade,273452748806.7868
087,Monroe,1433133.528421567
089,Nassau,0.0
091,Okaloosa,0.0
093,Okeechobee,5453.665783104885
095,Orange,0.0
097,Osceola,15809251.679584362
099,Palm Beach,2879404613.0277
101,Pasco,148042.97273647317
103,Pinellas,177868405.20139077
105,Polk,238801640.57875922
107,Putnam,0.0
109,St. Johns,0.0
111,St. Lucie,0.0
113,Santa Rosa,0.0
115,Sarasota,3958865412.858216
117,Seminole,0.0
119,Sumter,0.0
121,Suwannee,0.0
123,Taylor,0.0
125,Union,0.0
127,Volusia,0.0
129,Wakulla,0.0
131,Walton,0.0
133,Washington,0.0
nan,,61825423.749055184
